Family,Genus,Species with author,taxon_name,Establishment means,Price 1979,Price 1988,Gibson 1992,Mesaglio 2023
Fabaceae,Glycine,Glycine tabacina (Labill.) Benth.,Glycine tabacina,native,Yes,Yes,No,Yes
Fabaceae,Hardenbergia,Hardenbergia violacea (Schneev.) Stearn,Hardenbergia violacea,native,Yes,Yes,No,Yes
Fabaceae,Hovea,Hovea linearis (Sm.) R.Br.,Hovea linearis,native,Yes,Yes,No,Yes
Fabaceae,Indigofera,Indigofera australis Willd.,Indigofera australis,native,Yes,Yes,No,Yes
Fabaceae,Jacksonia,Jacksonia scoparia R.Br.,Jacksonia scoparia,native,Yes,Yes,No,Yes
Fabaceae,Kennedia,Kennedia rubicunda (Schneev.) Vent.,Kennedia rubicunda,native,Yes,Yes,No,Yes
Fabaceae,Pultenaea,Pultenaea villosa Willd.,Pultenaea villosa,native,Yes,Yes,No,Yes
Fabaceae,Zornia,Zornia dyctiocarpa DC.,Zornia dyctiocarpa,native,Yes,Yes,No,Yes
Geraniaceae,Geranium,Geranium solanderi Carolin,Geranium solanderi,native,No,Yes,No,Yes
Geraniaceae,Pelargonium,Pelargonium inodorum Willd.,Pelargonium inodorum,native,Yes,Yes,No,Yes
Goodeniaceae,Goodenia,Goodenia hederacea Sm.,Goodenia hederacea,native,Yes,Yes,No,Yes
Goodeniaceae,Goodenia,Goodenia paniculata Sm.,Goodenia paniculata,native,Yes,Yes,No,Yes
Goodeniaceae,Scaevola,Scaevola albida (Sm.) Druce,Scaevola albida,native,Yes,Yes,No,Yes
Hemerocallidaceae,Caesia,Caesia parviflora R.Br. ,Caesia parviflora,native,Yes,Yes,No,Yes
Hemerocallidaceae,Dianella,Dianella caerulea Sims,Dianella caerulea,native,Yes,Yes,No,Yes
Hemerocallidaceae,Dianella,Dianella longifolia R.Br. ,Dianella longifolia,native,No,Yes,No,Yes
Hemerocallidaceae,Dianella,Dianella revoluta R.Br.,Dianella revoluta,native,Yes,Yes,No,Yes
Hypericaceae,Hypericum,Hypericum gramineum G.Forst.,Hypericum gramineum,native,Yes,Yes,No,Yes
Hypoxidaceae,Hypoxis,Hypoxis hygrometrica Labill.,Hypoxis hygrometrica,native,Yes,Yes,No,Yes
Juncaceae,Juncus,Juncus bufonius L.,Juncus bufonius,native,Yes,Yes,No,Yes
Juncaceae,Juncus,Juncus planifolius R.Br.,Juncus planifolius,native,Yes,Yes,No,Yes
Juncaceae,Juncus,Juncus subsecundus N.A.Wakef.,Juncus subsecundus,native,No,No,Yes,Yes
Juncaceae,Juncus,Juncus usitatus L.A.S.Johnson,Juncus usitatus,native,Yes,Yes,No,Yes
Juncaginaceae,Triglochin,Triglochin striata Ruiz & Pav.,Triglochin striata,native,No,No,Yes,Yes
Lamiaceae,Mentha,Mentha diemenica Spreng.,Mentha diemenica,native,No,Yes,No,Yes
Lamiaceae,Plectranthus,Plectranthus parviflorus Willd.,Plectranthus parviflorus,native,No,Yes,No,Yes
Lauraceae,Cassytha,Cassytha paniculata R.Br.,Cassytha paniculata,native,Yes,Yes,No,Yes
Linaceae,Linum,Linum marginale A.Cunn.,Linum marginale,native,Yes,Yes,No,Yes
Loranthaceae,Amyema,Amyema gaudichaudii (DC.) Tiegh.,Amyema gaudichaudii,native,Yes,Yes,No,Yes
Loranthaceae,Amyema,Amyema miquelii (Lehm. ex Miq.) Tiegh.,Amyema miquelii,native,No,No,Yes,Yes
Loranthaceae,Dendrophthoe,Dendrophthoe vitellina (F.Muell.) Tiegh.,Dendrophthoe vitellina,native,Yes,Yes,No,Yes
Loranthaceae,Muellerina,Muellerina eucalyptoides (DC.) Barlow,Muellerina eucalyptoides,native,Yes,Yes,No,Yes
Lythraceae,Lythrum,Lythrum hyssopifolia L.,Lythrum hyssopifolia,native,Yes,No,No,Yes
Malvaceae,Brachychiton,Brachychiton populneus (Schott & Endl.) R.Br.,Brachychiton populneus,native,Yes,Yes,No,Yes
Malvaceae,Lasiopetalum,Lasiopetalum parviflorum Rudge,Lasiopetalum parviflorum,native,Yes,Yes,No,Yes
Menispermaceae,Sarcopetalum,Sarcopetalum harveyanum F.Muell.,Sarcopetalum harveyanum,native,No,Yes,No,Yes
Myrtaceae,Angophora,Angophora floribunda (Sm.) Sweet,Angophora floribunda,native,Yes,Yes,No,Yes
Myrtaceae,Callistemon,Callistemon linearifolius (Link) DC.,Callistemon linearifolius,native,No,Yes,No,Yes
Myrtaceae,Callistemon,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,Callistemon linearis,native,Yes,Yes,No,Yes
Myrtaceae,Callistemon,Callistemon pinifolius (J.C.Wendl.) Sweet,Callistemon pinifolius,native,Yes,Yes,No,Yes
Myrtaceae,Callistemon,Callistemon salignus (Sm.) Colvill ex Sweet,Callistemon salignus,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus amplifolia Naudin ,Eucalyptus amplifolia,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus eugenioides Sieber ex Spreng.,Eucalyptus eugenioides,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus fibrosa F.Muell. ,Eucalyptus fibrosa,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus globoidea Blakely,Eucalyptus globoidea,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus longifolia Link,Eucalyptus longifolia,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus moluccana Roxb.,Eucalyptus moluccana,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus punctata DC.,Eucalyptus punctata,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus resinifera J.White,Eucalyptus resinifera,native,Yes,Yes,No,Yes
Myrtaceae,Eucalyptus,Eucalyptus tereticornis Sm.,Eucalyptus tereticornis,native,Yes,Yes,No,Yes
Myrtaceae,Kunzea,Kunzea ambigua (Sm.) Druce,Kunzea ambigua,native,Yes,Yes,No,Yes
Myrtaceae,Leptospermum,Leptospermum polygalifolium Salisb. ,Leptospermum polygalifolium,native,Yes,Yes,No,Yes
Myrtaceae,Leptospermum,Leptospermum trinervium (J.White) Sm.,Leptospermum trinervium,native,Yes,Yes,No,Yes
Myrtaceae,Melaleuca,Melaleuca decora (Salisb.) Britten,Melaleuca decora,native,Yes,Yes,No,Yes
Myrtaceae,Melaleuca,Melaleuca diosmatifolia Dum.Cours.,Melaleuca diosmatifolia,native,Yes,Yes,No,Yes
Myrtaceae,Melaleuca,Melaleuca linariifolia Sm.,Melaleuca linariifolia,native,Yes,Yes,No,Yes
Myrtaceae,Melaleuca,Melaleuca nodosa (Sol. ex Gaertn.) Sm.,Melaleuca nodosa,native,Yes,Yes,No,Yes
Myrtaceae,Melaleuca,Melaleuca styphelioides Sm.,Melaleuca styphelioides,native,Yes,Yes,No,Yes
Myrtaceae,Melaleuca,Melaleuca thymifolia Sm.,Melaleuca thymifolia,native,Yes,No,No,Yes
Oleaceae,Notelaea,Notelaea longifolia Vent.,Notelaea longifolia,native,Yes,Yes,No,Yes
Oleaceae,Notelaea,Notelaea ovata R.Br.,Notelaea ovata,native,Yes,Yes,No,Yes
Onagraceae,Epilobium,Epilobium billardiereanum Ser. ,Epilobium billardiereanum,native,No,Yes,No,Yes
Orchidaceae,Diuris,Diuris maculata Sm.,Diuris maculata,native,Yes,Yes,No,Yes
Orchidaceae,Pterostylis,Pterostylis nutans R.Br.,Pterostylis nutans,native,Yes,Yes,No,Yes
