family,species_author,taxon_name,mesaglio_2024
Orchidaceae,Diuris maculata Sm.,Diuris maculata,yes
Orchidaceae,Pterostylis nutans R.Br.,Pterostylis nutans,yes
Oxalidaceae,Oxalis perennans Haw.,Oxalis perennans,yes
Oxalidaceae,Oxalis thompsoniae B.J.Conn & P.G.Richards,Oxalis thompsoniae,yes
Phyllanthaceae,Breynia oblongifolia (Müll.Arg.) Müll.Arg.,Breynia oblongifolia,yes
Phyllanthaceae,Glochidion ferdinandi (Müll.Arg.) F.M.Bailey,Glochidion ferdinandi,yes
Phyllanthaceae,Phyllanthus gunnii Hook.f.,Phyllanthus gunnii,yes
Phyllanthaceae,Poranthera microphylla Brongn.,Poranthera microphylla,yes
Pittosporaceae,Bursaria spinosa Cav.,Bursaria spinosa,yes
Pittosporaceae,"Pittosporum multiflorum (A.Cunn. ex Loudon) L.W.Cayzer, Crisp & I.Telford",Pittosporum multiflorum,yes
Pittosporaceae,Pittosporum revolutum W.T.Aiton,Pittosporum revolutum,yes
Pittosporaceae,Pittosporum undulatum Vent.,Pittosporum undulatum,yes
Plantaginaceae,Gratiola pedunculata R.Br.,Gratiola pedunculata,yes
Plantaginaceae,Plantago debilis R.Br.,Plantago debilis,yes
Plantaginaceae,Veronica plebeia R.Br.,Veronica plebeia,yes
Poaceae,Anthosachne scabra (R.Br.) Nevski,Anthosachne scabra,yes
Poaceae,Aristida vagans Cav.,Aristida vagans,yes
Poaceae,Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett,Austrostipa rudis,yes
Poaceae,Bothriochloa macra (Steud.) S.T.Blake,Bothriochloa macra,yes
Poaceae,Chloris truncata R.Br.,Chloris truncata,yes
Poaceae,Chloris ventricosa R.Br.,Chloris ventricosa,yes
Poaceae,Cymbopogon refractus (R.Br.) A.Camus,Cymbopogon refractus,yes
Poaceae,Dichelachne micrantha (Cav.) Domin,Dichelachne micrantha,yes
Poaceae,Digitaria parviflora (R.Br.) Hughes,Digitaria parviflora,yes
Poaceae,Echinopogon caespitosus C.E.Hubb. ,Echinopogon caespitosus,yes
Poaceae,Echinopogon ovatus (G.Forst.) P.Beauv.,Echinopogon ovatus,yes
Poaceae,Entolasia marginata (R.Br.) Hughes,Entolasia marginata,yes
Poaceae,Entolasia stricta (R.Br.) Hughes,Entolasia stricta,yes
Poaceae,Eragrostis brownii (Kunth) Nees,Eragrostis brownii,yes
Poaceae,Eragrostis leptostachya (R.Br.) Steud.,Eragrostis leptostachya,yes
Poaceae,Eriochloa pseudoacrotricha (Stapf ex Thell.) J.M.Black,Eriochloa pseudoacrotricha,yes
Poaceae,Imperata cylindrica (L.) P.Beauv.,Imperata cylindrica,yes
Poaceae,Lachnagrostis filiformis (G.Forst.) Trin.,Lachnagrostis filiformis,yes
Poaceae,Microlaena stipoides (Labill.) R.Br.,Microlaena stipoides,yes
Poaceae,Oplismenus hirtellus (L.) P.Beauv.,Oplismenus hirtellus,yes
Poaceae,Panicum simile Domin,Panicum simile,yes
Poaceae,Paspalidium criniforme S.T.Blake,Paspalidium criniforme,yes
Poaceae,Paspalidium distans (Trin.) Hughes,Paspalidium distans,yes
Poaceae,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites australis,yes
Poaceae,Poa sieberiana Spreng. ,Poa sieberiana,yes
Poaceae,Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder,Rytidosperma fulvum,yes
Poaceae,Rytidosperma setaceum (R.Br.) Connor & Edgar,Rytidosperma setaceum,yes
Poaceae,Rytidosperma tenuius (Steud.) A.Hansen & Sunding,Rytidosperma tenuius,yes
Poaceae,Themeda triandra Forssk.,Themeda triandra,yes
Polygonaceae,Persicaria decipiens (R.Br.) K.L.Wilson,Persicaria decipiens,yes
Polygonaceae,Persicaria lapathifolia (L.) Delarbre,Persicaria lapathifolia,yes
Polygonaceae,Rumex brownii Campd.,Rumex brownii,yes
Portulacaceae,Portulaca oleracea L.,Portulaca oleracea,yes
Primulaceae,Myrsine variabilis R.Br.,Myrsine variabilis,yes
Proteaceae,Hakea sericea Schrad. & J.C.Wendl.,Hakea sericea,yes
Proteaceae,Persoonia linearis Andrews,Persoonia linearis,yes
Pteridaceae,Adiantum aethiopicum L.,Adiantum aethiopicum,yes
Pteridaceae,Cheilanthes sieberi Kunze ,Cheilanthes sieberi,yes
Pteridaceae,Pellaea falcata (R.Br.) Fée,Pellaea falcata,yes
Ranunculaceae,Clematis aristata R.Br. ex Ker Gawl.,Clematis aristata,yes
Ranunculaceae,Clematis glycinoides DC.,Clematis glycinoides,yes
Rhamnaceae,Pomaderris ferruginea Sieber ex Fenzl,Pomaderris ferruginea,yes
Rosaceae,Rubus parvifolius L.,Rubus parvifolius,yes
Rubiaceae,Asperula conferta Hook.f.,Asperula conferta,yes
Rubiaceae,Opercularia diphylla Gaertn.,Opercularia diphylla,yes
Rubiaceae,Opercularia varia Hook.f.,Opercularia varia,yes
Rutaceae,Boronia polygalifolia Sm.,Boronia polygalifolia,yes
Rutaceae,Correa reflexa (Labill.) Vent.,Correa reflexa,yes
Rutaceae,Zieria smithii Andrews,Zieria smithii,yes
Santalaceae,Exocarpos cupressiformis Labill.,Exocarpos cupressiformis,yes
Sapindaceae,Dodonaea triquetra J.C.Wendl.,Dodonaea triquetra,yes
Scrophulariaceae,Eremophila debilis (Andrews) Chinnock,Eremophila debilis,yes
Scrophulariaceae,Myoporum boninense Koidz.,Myoporum boninense,yes
Thymelaeaceae,Pimelea linifolia Sm.,Pimelea linifolia,yes
Typhaceae,Typha orientalis C.Presl,Typha orientalis,yes
Xanthorrhoeaceae,Xanthorrhoea minor R.Br. ,Xanthorrhoea minor,yes
Zamiaceae,Macrozamia spiralis (Salisb.) Miq.,Macrozamia spiralis,yes
