taxon_name,source,name,establishment_means
Eleusine indica,Price1979,original,non-native
Eleusine tristachya,RawlingsNeff1990,original,non-native
Eleusine tristachya,Mesaglio2022,original,non-native
Eleusine tristachya,Price1979,original,non-native
Entolasia marginata,Price1988,original,native
Entolasia marginata,Mesaglio2022,original,native
Entolasia marginata,Price1979,original,native
Entolasia stricta,Price1988,original,native
Entolasia stricta,Mesaglio2022,original,native
Entolasia stricta,Price1979,original,native
Epilobium billardiereanum,Mesaglio2022,original,native
Epilobium billardiereanum ,Price1988,original,native
Eragrostis benthamii,Price1988,original,native
Eragrostis benthamii,Price1979,original,native
Eragrostis brownii,Price1988,original,native
Eragrostis brownii,Mesaglio2022,original,native
Eragrostis brownii,Price1979,original,native
Eragrostis curvula,RawlingsNeff1990,original,non-native
Eragrostis curvula,Mesaglio2022,original,non-native
Eragrostis curvula,Price1979,original,non-native
Eragrostis elongata,Price1988,original,native
Eragrostis leptostachya,Price1988,original,native
Eragrostis leptostachya,Mesaglio2022,original,native
Eragrostis leptostachya,Price1979,original,native
Eragrostis parviflora,Price1988,original,native
Eragrostis pilosa,Mesaglio2022,original,non-native
Eragrostis tenuifolia,Mesaglio2022,original,non-native
Erechtites valerianifolius,Mesaglio2022,original,non-native
Eremophila debilis,Price1988,original,native
Eremophila debilis,Mesaglio2022,original,native
Eremophila debilis,Price1979,original,native
Erigeron bonariensis,RawlingsNeff1990,original,non-native
Erigeron bonariensis,Mesaglio2022,original,non-native
Erigeron bonariensis,Price1979,original,non-native
Erigeron sumatrensis,Mesaglio2022,original,non-native
Erigeron sumatrensis,Price1979,original,non-native
Eriochloa pseudoacrotricha,Price1988,original,native
Eriochloa pseudoacrotricha,Mesaglio2022,original,native
Eriochloa pseudoacrotricha,Price1979,original,native
Erythrina crista-galli,Price1979,amended,non-native
Erythrina crista-galli,Mesaglio2022,original,non-native
Eucalyptus amplifolia,Price1988,original,native
Eucalyptus amplifolia,Mesaglio2022,original,native
Eucalyptus amplifolia,Price1979,original,native
Eucalyptus capitellata,Mesaglio2022,original,native
Eucalyptus eugenioides,Price1988,original,native
Eucalyptus eugenioides,Mesaglio2022,original,native
Eucalyptus eugenioides,Price1979,original,native
Eucalyptus fibrosa,Mesaglio2022,original,native
Eucalyptus fibrosa ,Price1988,original,native
Eucalyptus fibrosa ,Price1979,original,native
Eucalyptus globoidea,Price1988,original,native
Eucalyptus globoidea,Mesaglio2022,original,native
Eucalyptus globoidea,Price1979,original,native
Eucalyptus globulus,RawlingsNeff1990,original,non-native
Eucalyptus globulus ,Price1979,original,non-native
Eucalyptus longifolia,Price1988,original,native
Eucalyptus longifolia,Mesaglio2022,original,native
Eucalyptus longifolia,Price1979,original,native
Eucalyptus melliodora,RawlingsNeff1990,original,non-native
Eucalyptus melliodora,Price1979,original,non-native
Eucalyptus microcorys,RawlingsNeff1990,original,non-native
Eucalyptus microcorys,Mesaglio2022,original,non-native
Eucalyptus microcorys,Price1979,original,non-native
Eucalyptus moluccana,Price1988,original,native
Eucalyptus moluccana,Mesaglio2022,original,native
Eucalyptus moluccana,Price1979,original,native
Eucalyptus paniculata,Mesaglio2022,original,non-native
Eucalyptus paniculata,Price1979,original,non-native
Eucalyptus punctata,Price1988,original,native
Eucalyptus punctata,Mesaglio2022,original,native
Eucalyptus punctata,Price1979,original,native
Eucalyptus resinifera,Price1988,original,native
Eucalyptus resinifera,Mesaglio2022,original,native
Eucalyptus resinifera,Price1979,original,native
Eucalyptus saligna,Mesaglio2022,original,non-native
Eucalyptus saligna,Price1979,original,non-native
Eucalyptus sideroxylon ,Price1979,original,native
Eucalyptus tereticornis,Price1988,original,native
Eucalyptus tereticornis,Mesaglio2022,original,native
Eucalyptus tereticornis,Price1979,original,native
Euchiton involucratus,Mesaglio2022,original,native
Euchiton japonicus,Price1979,original,native
Euchiton sphaericus,GibsonBell1992,original,native
Euchiton sphaericus,Mesaglio2022,original,native
Euphorbia drummondii,Price1979,original,native
Euphorbia maculata,Mesaglio2022,original,non-native
Euphorbia peplus,Mesaglio2022,original,non-native
Euphorbia peplus,Price1979,original,non-native
Euphorbia peplus,RawlingsNeff1990,original,non-native
Euphorbia prostrata,Mesaglio2022,original,non-native
Euphorbia prostrata,Price1979,original,non-native
Euphorbia serpens,Mesaglio2022,original,non-native
Euryops chrysanthemoides,Mesaglio2022,original,non-native
Eustrephus latifolius,Price1988,original,native
Eustrephus latifolius,Mesaglio2022,original,native
Eustrephus latifolius,Price1979,original,native
Exocarpos cupressiformis,Price1988,original,native
Exocarpos cupressiformis,Mesaglio2022,original,native
Exocarpos cupressiformis,Price1979,original,native
Exocarpos strictus,Price1988,original,native
Exocarpos strictus,Price1979,original,native
Facelis retusa,Mesaglio2022,original,non-native
Facelis retusa,Price1979,original,non-native
Ficinia nodosa,Mesaglio2022,original,native
Ficus rubiginosa,Mesaglio2022,original,native
Fimbristylis dichotoma,Mesaglio2022,original,native
Foeniculum vulgare,RawlingsNeff1990,original,non-native
Foeniculum vulgare,Mesaglio2022,original,non-native
Foeniculum vulgare,Price1979,original,non-native
Freesia leichtlinii subsp. leichtlinii ×  Freesia leichtlinii subsp. alba,Price1979,original,non-native
Freesia sp.,RawlingsNeff1990,original,non-native
Freesia sp.,Mesaglio2022,original,non-native
Fumaria bastardii,Mesaglio2022,original,non-native
Fumaria muralis,Mesaglio2022,original,non-native
Fumaria muralis,Price1979,original,non-native
Gahnia aspera,Price1988,original,native
Gahnia aspera,Mesaglio2022,original,native
Gahnia aspera,Price1979,original,native
Gahnia melanocarpa,Price1988,original,native
Gahnia melanocarpa,Mesaglio2022,original,native
Gahnia melanocarpa,Price1979,original,native
Galinsoga parviflora,Mesaglio2022,original,non-native
Galium aparine,Mesaglio2022,original,non-native
Galium leiocarpum,Mesaglio2022,original,native
Gamochaeta pensylvanica,Mesaglio2022,original,non-native
Gamochaeta purpurea,RawlingsNeff1990,original,non-native
Gamochaeta purpurea,Mesaglio2022,original,non-native
Gamochaeta purpurea ,Price1979,original,non-native
Genista monspessulana,RawlingsNeff1990,original,non-native
Genista monspessulana,Mesaglio2022,original,non-native
Genista monspessulana ,Price1979,original,non-native
Geranium homeanum,Mesaglio2022,original,native
Geranium solanderi,Price1988,original,native
Geranium solanderi,Mesaglio2022,original,native
Gladiolus sp.,RawlingsNeff1990,original,non-native
Gladiolus undulatus,Mesaglio2022,original,non-native
Gladiolus undulatus,Price1979,original,non-native
Glochidion ferdinandi,Price1988,original,native
Glochidion ferdinandi,Mesaglio2022,original,native
Glochidion ferdinandi,Price1979,original,native
Glossocardia bidens,Price1988,original,native
Glossocardia bidens,Mesaglio2022,original,native
Glycine clandestina,Price1988,original,native
Glycine clandestina,Mesaglio2022,original,native
Glycine clandestina,Price1979,original,native
Glycine microphylla,GibsonBell1992,original,native
Glycine microphylla,Mesaglio2022,original,native
