taxon_name,life_history
Senecio linearifolius,perennial
Senecio linearifolius,perennial
Senecio linearifolius,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,annual short_lived_perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Senecio quadridentatus,perennial
Sphaeromorphaea australis,perennial
Sphaeromorphaea australis,perennial
Sporobolus elongatus,perennial
Sporobolus elongatus,perennial
Sporobolus elongatus,perennial
Sporobolus elongatus,perennial
Sporobolus elongatus,perennial
Sporobolus elongatus,annual
Syncarpia glomulifera,perennial
Syncarpia glomulifera,perennial
Syncarpia glomulifera,perennial
Thelymitra pauciflora,perennial
Thelymitra pauciflora,perennial
Thelymitra pauciflora,perennial
Thelymitra pauciflora,perennial
Thelymitra pauciflora,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne elatior,perennial
Tricoryne simplex,perennial
Tricoryne simplex,perennial
Tricoryne simplex,perennial
Tricoryne simplex,perennial
Tricoryne simplex,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Typha domingensis,perennial
Urochloa foliosa,perennial
Urochloa foliosa,perennial
Urochloa foliosa,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Veronica calycina,perennial
Viola betonicifolia,perennial
Viola betonicifolia,short_lived_perennial
Viola betonicifolia,perennial
Viola betonicifolia,perennial
Viola betonicifolia,perennial
Viola betonicifolia,perennial
Viola betonicifolia,perennial
Viola betonicifolia,perennial
Vittadinia muelleri,perennial
Vittadinia muelleri,perennial
Vittadinia muelleri,perennial
Vittadinia muelleri,perennial
Vittadinia muelleri,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia stricta,short_lived_perennial
Wahlenbergia stricta,perennial
Wahlenbergia stricta,perennial
Wahlenbergia stricta,perennial
Wahlenbergia stricta,perennial
Wahlenbergia stricta,perennial
Wahlenbergia stricta,perennial
