taxon_name,Family,Genus,Species with author,max_max_height,dispersal,growth_habit,life_history,photosynthetic_pathway,resprouting_capacity,water_association
Dichelachne rara,Poaceae,Dichelachne,Dichelachne rara (R.Br.) Vickery,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Digitaria ramularis,Poaceae,Digitaria,Digitaria ramularis (Trin.) Henrard,1,anemochory,graminoid,perennial,c4,resprouting_possible,no
Echinochloa telmatophila,Poaceae,Echinochloa,Echinochloa telmatophila P.W.Michael & Vickery,2,anemochory,graminoid,annual,c4,fire_killed,yes
Eragrostis benthamii,Poaceae,Eragrostis,Eragrostis benthamii Mattei,0.6,mixed,graminoid,perennial,c4,NA,no
Eragrostis elongata,Poaceae,Eragrostis,Eragrostis elongata (Willd.) J.Jacq.,0.9,mixed,graminoid,perennial,c4,fire_killed,no
Eragrostis parviflora,Poaceae,Eragrostis,Eragrostis parviflora (R.Br.) Trin.,1.35,barochory,graminoid,perennial,c4,fire_killed,no
Lachnagrostis aemula,Poaceae,Lachnagrostis,Lachnagrostis aemula (R.Br.) Trin.,0.8,mixed,graminoid,perennial,c3,resprouting_possible,no
Panicum effusum,Poaceae,Panicum,Panicum effusum R.Br.,1,anemochory,graminoid,perennial,c4,resprouting_possible,no
Paspalidium aversum,Poaceae,Paspalidium,Paspalidium aversum Vickery,0.9,mixed,graminoid,perennial,c4,resprouting_possible,yes
Paspalum vaginatum,Poaceae,Paspalum,Paspalum vaginatum Sw.,0.6,epizoochory,graminoid,perennial,c4,resprouting_possible,yes
Poa affinis,Poaceae,Poa,Poa affinis R.Br.,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Poa labillardierei,Poaceae,Poa,Poa labillardierei Steud.,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes
Rytidosperma bipartitum,Poaceae,Rytidosperma,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Rytidosperma longifolium,Poaceae,Rytidosperma,Rytidosperma longifolium (R.Br.) Connor & Edgar,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Rytidosperma racemosum,Poaceae,Rytidosperma,Rytidosperma racemosum (R.Br.) Connor & Edgar,0.75,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Sporobolus elongatus,Poaceae,Sporobolus,Sporobolus elongatus R.Br.,1,mixed,graminoid,perennial,c4,resprouting_possible,no
Urochloa foliosa,Poaceae,Urochloa,Urochloa foliosa (R.Br.) R.D.Webster,0.9,anemochory,graminoid,perennial,c4,fire_killed,no
Polygala japonica,Polygalaceae,Polygala,Polygala japonica Houtt.,0.25,mixed,subshrub,perennial,c3,resprouting_possible,no
Ranunculus lappaceus,Ranunculaceae,Ranunculus,Ranunculus lappaceus Sm.,1.7,mixed,herb,perennial,c3,resprouting_possible,no
Pomaderris lanigera,Rhamnaceae,Pomaderris,Pomaderris lanigera (Andrews) Sims,5,myrmecochory,tree,perennial,c3,resprouting_possible,no
Opercularia aspera,Rubiaceae,Opercularia,Opercularia aspera Gaertn.,2,myrmecochory,subshrub,perennial,c3,resprouting_possible,no
Asterolasia correifolia,Rutaceae,Asterolasia,Asterolasia correifolia (A.Juss.) Benth.,2.5,myrmecochory,shrub,perennial,c3,fire_killed,no
Exocarpos strictus,Santalaceae,Exocarpos,Exocarpos strictus R.Br.,6,endozoochory,shrub,perennial,c3,resprouting_possible,no
Omphacomeria acerba,Santalaceae,Omphacomeria,Omphacomeria acerba (R.Br.) A.DC.,1.5,endozoochory,shrub,perennial,c3,resprouting_possible,no
Typha domingensis,Typhaceae,Typha,Typha domingensis Pers.,4,anemochory,graminoid,perennial,c3,resprouting_possible,yes
Viola betonicifolia,Violaceae,Viola,Viola betonicifolia Sm.,0.2,myrmecochory,herb,perennial,c3,resprouting_possible,no
