taxon_name,dispersal
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Eustrephus latifolius,endozoochory
Exocarpos cupressiformis,endozoochory
Exocarpos cupressiformis,zoochory
Exocarpos cupressiformis,endozoochory
Exocarpos cupressiformis,endozoochory
Exocarpos cupressiformis,endozoochory
Exocarpos cupressiformis,endozoochory
Gahnia aspera,zoochory
Gahnia aspera,barochory
Gahnia aspera,endozoochory
Gahnia melanocarpa,barochory
Gahnia melanocarpa,endozoochory
Geranium solanderi,anemochory
Geranium solanderi,epizoochory
Geranium solanderi,epizoochory
Glochidion ferdinandi,barochory
Glochidion ferdinandi,endozoochory
Glossocardia bidens,epizoochory
Glossocardia bidens,epizoochory
Glossocardia bidens,epizoochory
Glycine clandestina,barochory
Glycine clandestina,barochory
Glycine clandestina,barochory
Glycine clandestina,barochory
Glycine clandestina,zoochory
Glycine clandestina,zoochory
Glycine clandestina,zoochory
Glycine clandestina,barochory
Glycine microphylla,barochory
Glycine microphylla,zoochory
Glycine microphylla,myrmecochory
Glycine tabacina,barochory
Glycine tabacina,barochory
Glycine tabacina,zoochory
Glycine tabacina,zoochory
Glycine tabacina,zoochory
Glycine tabacina,myrmecochory
Goodenia hederacea,zoochory
Goodenia hederacea,zoochory
Goodenia paniculata,zoochory
Gratiola pedunculata,epizoochory
Hakea sericea,anemochory
Hakea sericea,anemochory
Hakea sericea,anemochory barochory
Hakea sericea,anemochory
Hardenbergia violacea,myrmecochory
Hardenbergia violacea,zoochory
Hardenbergia violacea,myrmecochory
Hardenbergia violacea,myrmecochory
Hardenbergia violacea,zoochory
Hardenbergia violacea,zoochory
Hardenbergia violacea,myrmecochory
Hardenbergia violacea,myrmecochory
Hibbertia aspera,myrmecochory
Hibbertia aspera,myrmecochory
Hibbertia aspera,zoochory
Hibbertia diffusa,zoochory
Hibbertia pedunculata,zoochory
Homalanthus populifolius,endozoochory
Homalanthus populifolius,zoochory
Hovea linearis,myrmecochory
Hovea linearis,myrmecochory
Hovea linearis,myrmecochory
Hovea linearis,myrmecochory
Hovea linearis,zoochory
Hydrocotyle sibthorpioides,undefined
Hydrocotyle sibthorpioides,zoochory
Hydrocotyle sibthorpioides,zoochory
Hydrocotyle sibthorpioides,barochory
Hypericum gramineum,barochory
Hypericum gramineum,barochory
Hypericum gramineum,anemochory
Hypericum gramineum,barochory
Hypericum gramineum,barochory
Hypericum gramineum,anemochory barochory
Hypericum gramineum,zoochory
Hypericum gramineum,barochory
Hypericum gramineum,anemochory
Hypoxis hygrometrica,barochory
Hypoxis hygrometrica,barochory
Hypoxis hygrometrica,barochory
Hypoxis hygrometrica,anemochory
Imperata cylindrica,anemochory
Imperata cylindrica,anemochory
Imperata cylindrica,anemochory
Imperata cylindrica,anemochory
Imperata cylindrica,anemochory
Imperata cylindrica,anemochory
Imperata cylindrica,anemochory
Indigofera australis,barochory
Indigofera australis,undefined
Indigofera australis,barochory
Indigofera australis,zoochory
Indigofera australis,barochory
Isolepis cernua,undefined
Isolepis cernua,epizoochory
Isolepis cernua,epizoochory
Isolepis cernua,epizoochory
Isolepis cernua,epizoochory
Isolepis cernua,barochory
Jacksonia scoparia,epizoochory
Jacksonia scoparia,epizoochory
Juncus bufonius,barochory
Juncus bufonius,anemochory
Juncus bufonius,barochory
Juncus bufonius,barochory
Juncus bufonius,anthrochory
Juncus bufonius,epizoochory
Juncus bufonius,barochory
Juncus bufonius,barochory
Juncus planifolius,barochory
Juncus planifolius,epizoochory
Juncus planifolius,barochory
Juncus subsecundus,anemochory
Juncus subsecundus,anemochory
Juncus subsecundus,barochory
Juncus subsecundus,epizoochory
Juncus subsecundus,epizoochory
Juncus subsecundus,barochory
Juncus subsecundus,barochory
Juncus usitatus,anemochory
Juncus usitatus,anemochory
Juncus usitatus,epizoochory
Juncus usitatus,barochory
Juncus usitatus,barochory
Kennedia rubicunda,myrmecochory
Kennedia rubicunda,barochory
Kennedia rubicunda,myrmecochory
Kennedia rubicunda,zoochory
Kunzea ambigua,myrmecochory
Kunzea ambigua,anemochory
Lachnagrostis filiformis,barochory
