taxon_name,dispersal
Epilobium billardiereanum,anemochory
Eragrostis brownii,barochory
Eragrostis leptostachya,mixed
Eremophila debilis,endozoochory
Eriochloa pseudoacrotricha,mixed
Eucalyptus amplifolia,barochory
Eucalyptus eugenioides,mixed
Eucalyptus fibrosa,mixed
Eucalyptus globoidea,barochory
Eucalyptus longifolia,mixed
Eucalyptus moluccana,mixed
Eucalyptus punctata,anemochory
Eucalyptus resinifera,mixed
Eucalyptus tereticornis,anemochory
Euchiton sphaericus,anemochory
Eustrephus latifolius,endozoochory
Exocarpos cupressiformis,endozoochory
Gahnia aspera,endozoochory
Gahnia melanocarpa,endozoochory
Geranium solanderi,epizoochory
Glochidion ferdinandi,mixed
Glossocardia bidens,epizoochory
Glycine clandestina,barochory
Glycine microphylla,myrmecochory
Glycine tabacina,myrmecochory
Goodenia hederacea,zoochory
Goodenia paniculata,zoochory
Gratiola pedunculata,epizoochory
Hakea sericea,anemochory
Hardenbergia violacea,myrmecochory
Hibbertia aspera,myrmecochory
Hibbertia diffusa,zoochory
Hibbertia pedunculata,zoochory
Homalanthus populifolius,endozoochory
Hydrocotyle sibthorpioides,barochory
Hypericum gramineum,barochory
Hypoxis hygrometrica,barochory
Imperata cylindrica,anemochory
Indigofera australis,barochory
Isolepis cernua,epizoochory
Juncus bufonius,barochory
Juncus planifolius,barochory
Juncus subsecundus,mixed
Juncus usitatus,mixed
Kennedia rubicunda,myrmecochory
Kunzea ambigua,mixed
Lachnagrostis filiformis,anemochory
Lagenophora sublyrata,mixed
Lasiopetalum parviflorum,myrmecochory
Laxmannia gracilis,barochory
Lepidosperma laterale,myrmecochory
Leptospermum polygalifolium,anemochory
Leptospermum trinervium,anemochory
Leucopogon affinis,endozoochory
Leucopogon juniperinus,endozoochory
Linum marginale,mixed
Lissanthe strigosa,endozoochory
Lobelia anceps,mixed
Lobelia purpurascens,zoochory
Lomandra filiformis,myrmecochory
Lomandra longifolia,myrmecochory
Lomandra multiflora,myrmecochory
Lythrum hyssopifolia,mixed
Macrozamia spiralis,barochory
Melaleuca decora,anemochory
Melaleuca diosmatifolia,anemochory
Melaleuca linariifolia,anemochory
Melaleuca nodosa,anemochory
Melaleuca styphelioides,anemochory
Mentha diemenica,mixed
Microlaena stipoides,epizoochory
Muellerina eucalyptoides,endozoochory
Myoporum boninense,endozoochory
Myrsine variabilis,endozoochory
Notelaea longifolia,endozoochory
Notelaea ovata,endozoochory
Olearia microphylla,anemochory
Olearia viscidula,anemochory
Opercularia diphylla,myrmecochory
Opercularia varia,myrmecochory
Oplismenus hirtellus,epizoochory
Oxalis perennans,mixed
Oxalis thompsoniae,barochory
Ozothamnus diosmifolius,anemochory
Pandorea pandorana,anemochory
Panicum simile,mixed
Paspalidium criniforme,mixed
Paspalidium distans,mixed
Pelargonium inodorum,mixed
Pellaea falcata,anemochory
Persicaria decipiens,epizoochory
Persicaria lapathifolia,epizoochory
Persoonia linearis,endozoochory
Phragmites australis,anemochory
Phyllanthus gunnii,mixed
Pimelea linifolia,myrmecochory
Pittosporum multiflorum,endozoochory
Pittosporum revolutum,endozoochory
Pittosporum undulatum,endozoochory
Plantago debilis,barochory
Plectranthus parviflorus,endozoochory
Poa sieberiana,mixed
Polymeria calycina,mixed
Polyscias sambucifolia,endozoochory
Poranthera microphylla,myrmecochory
Portulaca oleracea,barochory
Pseudognaphalium luteoalbum,anemochory
Pteridium esculentum,anemochory
Pterostylis nutans,anemochory
Pultenaea villosa,myrmecochory
Rubus parvifolius,endozoochory
Rumex brownii,epizoochory
Rytidosperma fulvum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma tenuius,epizoochory
Sarcopetalum harveyanum,endozoochory
Scaevola albida,mixed
Schoenus apogon,mixed
Senecio hispidulus,anemochory
Solenogyne bellioides,anemochory
Stackhousia muricata,zoochory
Themeda triandra,epizoochory
Thysanotus tuberosus,myrmecochory
Triglochin striata,hydrochory
Triptilodiscus pygmaeus,anemochory
Typha orientalis,anemochory
Veronica plebeia,barochory
Vincetoxicum barbatum,anemochory
Vittadinia cuneata,anemochory
Wahlenbergia gracilis,anemochory
Xanthorrhoea minor,barochory
Zieria smithii,myrmecochory
Zornia dyctiocarpa,epizoochory
