taxon_name,APC_name,family,genus,max_max_height,dispersal,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association
Leptospermum trinervium,Leptospermum trinervium (J.White) Sm.,Myrtaceae,Leptospermum,6,anemochory,tree,perennial,c3,resprouting_possible,no
Leucopogon affinis,Leucopogon affinis R.Br.,Ericaceae,Leucopogon,3,endozoochory,shrub,perennial,c3,resprouting_possible,no
Leucopogon juniperinus,Leucopogon juniperinus R.Br.,Ericaceae,Leucopogon,1,endozoochory,shrub,perennial,c3,resprouting_possible,no
Linum marginale,Linum marginale A.Cunn.,Linaceae,Linum,1.2,mixed,herb,perennial,c3,resprouting_possible,no
Lissanthe strigosa,Lissanthe strigosa (Sm.) R.Br.,Ericaceae,Lissanthe,1,endozoochory,shrub,perennial,c3,resprouting_possible,no
Lobelia anceps,Lobelia anceps L.f.,Campanulaceae,Lobelia,1.2,mixed,herb,perennial,c3,resprouting_possible,yes
Lomandra filiformis,Lomandra filiformis (Thunb.) Britten,Asparagaceae,Lomandra,0.54,myrmecochory,graminoid,perennial,c3,resprouting_possible,no
Lomandra longifolia,Lomandra longifolia Labill.,Asparagaceae,Lomandra,1,myrmecochory,graminoid,perennial,c3,resprouting_possible,no
Lomandra multiflora,Lomandra multiflora (R.Br.) Britten,Asparagaceae,Lomandra,0.3,myrmecochory,graminoid,perennial,c3,resprouting_possible,no
Lythrum hyssopifolia,Lythrum hyssopifolia L.,Lythraceae,Lythrum,0.6,mixed,herb,short_lived_perennial,c3,fire_killed,yes
Melaleuca decora,Melaleuca decora (Salisb.) Britten,Myrtaceae,Melaleuca,7,anemochory,tree,perennial,c3,resprouting_possible,no
Melaleuca diosmatifolia,Melaleuca diosmatifolia Dum.Cours.,Myrtaceae,Melaleuca,4,anemochory,shrub,perennial,c3,resprouting_possible,no
Melaleuca linariifolia,Melaleuca linariifolia Sm.,Myrtaceae,Melaleuca,10,anemochory,tree,perennial,c3,resprouting_possible,no
Melaleuca nodosa,Melaleuca nodosa (Sol. ex Gaertn.) Sm.,Myrtaceae,Melaleuca,4,anemochory,tree,perennial,c3,resprouting_possible,no
Melaleuca styphelioides,Melaleuca styphelioides Sm.,Myrtaceae,Melaleuca,20,anemochory,tree,perennial,c3,resprouting_possible,no
Mentha diemenica,Mentha diemenica Spreng.,Lamiaceae,Mentha,0.5,mixed,herb,perennial,c3,resprouting_possible,no
Microlaena stipoides,Microlaena stipoides (Labill.) R.Br.,Poaceae,Microlaena,1,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Muellerina eucalyptoides,Muellerina eucalyptoides (DC.) Barlow,Loranthaceae,Muellerina,NA,endozoochory,shrub,perennial,c3,fire_killed,no
Myoporum boninense,Myoporum boninense Koidz.,Scrophulariaceae,Myoporum,2.8,endozoochory,shrub,perennial,c3,fire_killed,no
Myrsine variabilis,Myrsine variabilis R.Br.,Primulaceae,Myrsine,15,endozoochory,tree,perennial,c3,resprouting_possible,no
Notelaea longifolia,Notelaea longifolia Vent.,Oleaceae,Notelaea,9,endozoochory,tree,perennial,c3,resprouting_possible,no
Notelaea ovata,Notelaea ovata R.Br.,Oleaceae,Notelaea,1,endozoochory,shrub,perennial,c3,resprouting_possible,no
Olearia microphylla,Olearia microphylla (Vent.) Maiden & Betche,Asteraceae,Olearia,2,anemochory,shrub,perennial,c3,resprouting_possible,no
Olearia viscidula,Olearia viscidula (F.Muell.) Benth.,Asteraceae,Olearia,2.5,anemochory,shrub,perennial,c3,resprouting_possible,no
Opercularia varia,Opercularia varia Hook.f.,Rubiaceae,Opercularia,0.3,myrmecochory,subshrub,perennial,c3,resprouting_possible,no
Oplismenus hirtellus,Oplismenus hirtellus (L.) P.Beauv.,Poaceae,Oplismenus,3,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Oxalis perennans,Oxalis perennans Haw.,Oxalidaceae,Oxalis,0.5,mixed,herb,perennial,c3,resprouting_possible,no
Ozothamnus diosmifolius,Ozothamnus diosmifolius (Vent.) DC.,Asteraceae,Ozothamnus,5,anemochory,shrub,perennial,c3,resprouting_possible,no
Pandorea pandorana,Pandorea pandorana (Andrews) Steenis,Bignoniaceae,Pandorea,43,anemochory,climber_woody,perennial,c3,resprouting_possible,no
Panicum simile,Panicum simile Domin,Poaceae,Panicum,0.7,mixed,graminoid,perennial,c4,resprouting_possible,no
Paspalidium criniforme,Paspalidium criniforme S.T.Blake,Poaceae,Paspalidium,0.6,mixed,graminoid,perennial,c4,resprouting_possible,no
Paspalidium distans,Paspalidium distans (Trin.) Hughes,Poaceae,Paspalidium,1,mixed,graminoid,perennial,c4,resprouting_possible,no
Pelargonium inodorum,Pelargonium inodorum Willd.,Geraniaceae,Pelargonium,0.4,mixed,herb,short_lived_perennial,c3,fire_killed,no
Pellaea falcata,Pellaea falcata (R.Br.) Fée,Pteridaceae,Pellaea,1,anemochory,fern,perennial,c3,resprouting_possible,no
Persicaria decipiens,Persicaria decipiens (R.Br.) K.L.Wilson,Polygonaceae,Persicaria,1,epizoochory,herb,perennial,c3,resprouting_possible,yes
Persicaria lapathifolia,Persicaria lapathifolia (L.) Delarbre,Polygonaceae,Persicaria,1.8,epizoochory,herb,biennial,c3,resprouting_possible,yes
Persoonia linearis,Persoonia linearis Andrews,Proteaceae,Persoonia,5,endozoochory,tree,perennial,c3,resprouting_possible,no
Phragmites australis,Phragmites australis (Cav.) Trin. ex Steud.,Poaceae,Phragmites,6,anemochory,graminoid,perennial,c3,resprouting_possible,yes
Phyllanthus gunnii,Phyllanthus gunnii Hook.f.,Phyllanthaceae,Phyllanthus,5,mixed,shrub,perennial,c3,resprouting_possible,no
Pimelea linifolia,Pimelea linifolia Sm.,Thymelaeaceae,Pimelea,1.68,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Pittosporum multiflorum,"Pittosporum multiflorum (A.Cunn. ex Loudon) L.W.Cayzer, Crisp & I.Telford",Pittosporaceae,Pittosporum,4.2,endozoochory,shrub,perennial,c3,resprouting_possible,no
Pittosporum revolutum,Pittosporum revolutum W.T.Aiton,Pittosporaceae,Pittosporum,6,endozoochory,tree,perennial,c3,resprouting_possible,no
Pittosporum undulatum,Pittosporum undulatum Vent.,Pittosporaceae,Pittosporum,27.5,endozoochory,tree,perennial,c3,resprouting_possible,no
Plantago debilis,Plantago debilis R.Br.,Plantaginaceae,Plantago,0.4,barochory,herb,perennial,c3,resprouting_possible,no
Plectranthus parviflorus,Plectranthus parviflorus Willd.,Lamiaceae,Plectranthus,1,endozoochory,shrub,perennial,cam,fire_killed,no
Poa sieberiana,Poa sieberiana Spreng.,Poaceae,Poa,1.07,mixed,graminoid,perennial,c3,resprouting_possible,no
Polyscias sambucifolia,Polyscias sambucifolia (Sieber ex DC.) Harms,Araliaceae,Polyscias,11,endozoochory,tree,perennial,c3,resprouting_possible,no
Poranthera microphylla,Poranthera microphylla Brongn.,Phyllanthaceae,Poranthera,0.45,myrmecochory,herb,short_lived_perennial,c3,resprouting_possible,no
Portulaca oleracea,Portulaca oleracea L.,Portulacaceae,Portulaca,0.2,barochory,herb,perennial,c4,resprouting_possible,no
Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Asteraceae,Pseudognaphalium,0.7,anemochory,herb,perennial,c3,fire_killed,no
Pteridium esculentum,Pteridium esculentum (G.Forst.) Cockayne,Dennstaedtiaceae,Pteridium,3,anemochory,fern,perennial,c3,resprouting_possible,no
Pterostylis nutans,Pterostylis nutans R.Br.,Orchidaceae,Pterostylis,0.4,anemochory,herb,perennial,c3,resprouting_possible,no
