taxon_name,APC_name,genus,family,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Crassula sieberiana,Crassula sieberiana (Schult. & Schult.f.) Druce,Crassula,Crassulaceae,0.2,anemochory,herb,perennial,cam,resprouting_possible,no,persister
Cyanthillium cinereum,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium,Asteraceae,1.2,anemochory,herb,perennial,c3,fire_killed,no,persister
Cymbopogon refractus,Cymbopogon refractus (R.Br.) A.Camus,Cymbopogon,Poaceae,1.5,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister
Cyperus mirus,Cyperus mirus C.B.Clarke,Cyperus,Cyperaceae,0.55,hydrochory,graminoid,perennial,c3,NA,yes,extinct
Cyperus polystachyos,Cyperus polystachyos Rottb.,Cyperus,Cyperaceae,0.6,hydrochory,graminoid,perennial,c4,fire_killed,yes,extinct
Daviesia ulicifolia,Daviesia ulicifolia Andrews,Daviesia,Fabaceae,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Dendrophthoe vitellina,Dendrophthoe vitellina (F.Muell.) Tiegh.,Dendrophthoe,Loranthaceae,NA,endozoochory,shrub,perennial,c3,fire_killed,no,persister
Denhamia silvestris,Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,Denhamia,Celastraceae,45,myrmecochory,tree,perennial,c3,resprouting_possible,no,persister
Desmodium rhytidophyllum,Desmodium rhytidophyllum F.Muell. ex Benth.,Desmodium,Fabaceae,0.2,epizoochory,climber,perennial,c3,resprouting_possible,no,persister
Desmodium varians,Desmodium varians (Labill.) G.Don,Desmodium,Fabaceae,0.5,epizoochory,climber,perennial,c3,resprouting_possible,no,persister
Deyeuxia quadriseta,Deyeuxia quadriseta (Labill.) Benth.,Deyeuxia,Poaceae,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Dianella caerulea,Dianella caerulea Sims,Dianella,Hemerocallidaceae,2,endozoochory,herb,perennial,c3,resprouting_possible,no,persister
Dianella longifolia,Dianella longifolia R.Br.,Dianella,Hemerocallidaceae,0.8,endozoochory,herb,perennial,c3,resprouting_possible,no,persister
Dianella revoluta,Dianella revoluta R.Br.,Dianella,Hemerocallidaceae,1.5,endozoochory,herb,perennial,c3,resprouting_possible,no,persister
Dichelachne micrantha,Dichelachne micrantha (Cav.) Domin,Dichelachne,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
